Feedback_ID,Complaint_Time_Approx,Text_Content,Simulated_NER_Bus_ID
900000,13-11-2025 18:59,Bus KA-01-AB-0101 is took forever by 35 mins near Koramangala. The schedule is a joke.,KA-01-AB-0101
900001,13-11-2025 09:26,Excellent journey on Route R12B this morning. Everything was on time.,
900002,13-11-2025 10:38,Excellent journey on Route R5A this morning. Everything was great service.,KA-01-AB-0101
900003,13-11-2025 13:17,Bus KA-01-AB-0102 is off schedule by 22 mins near Whitefield. The schedule is a joke.,KA-01-AB-0102
900004,13-11-2025 14:04,Bus KA-01-AB-0101 is took forever by 37 mins near Whitefield. The schedule is a joke.,KA-01-AB-0101
900005,13-11-2025 13:54,Route R7C is running behind by 33 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0104
900006,13-11-2025 11:19,Seriously sardine can from Silk_Board. Trip on R5A should not let in so many passengers.,KA-01-AB-0102
900007,13-11-2025 11:47,Seriously packed from Whitefield. Trip on R12B should not let in so many passengers.,
900008,13-11-2025 16:51,Checked the app 3 times. Still no real-time update for Route R5A. Makes the whole system unreliable.,KA-01-AB-0101
900009,13-11-2025 11:09,Seriously full from MG_Road. Trip on R12B should not let in so many passengers.,
900010,13-11-2025 12:31,Checked the app 3 times. Still tracker broken for Bus KA-01-AB-0104. Makes the whole system unreliable.,
900011,13-11-2025 10:22,Bus KA-01-AB-0101 is late by 17 mins near Shivaji_Nagar. The schedule is a joke. \#Traffic,KA-01-AB-0101
900012,13-11-2025 17:23,Checked the app 3 times. Still app not working for Route R5A. Makes the whole system unreliable.,
900013,13-11-2025 14:01,Trip on R7C is running behind by 30 mins near Whitefield. The schedule is a joke.,KA-01-AB-0105
900014,13-11-2025 15:17,The no fan is disgusting. Bus KA-01-AB-0105 needs maintenance asap.,KA-01-AB-0105
900015,13-11-2025 12:58,Driver of KA-01-AB-0102 was not helpful when asked for the stop. Unprofessional behavior.,KA-01-AB-0102
900016,13-11-2025 14:00,Bus KA-01-AB-0101 is late by 43 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0101
900017,13-11-2025 14:00,Checked the app 3 times. Still no real-time update for Trip on R12B. Makes the whole system unreliable.,KA-01-AB-0105
900018,13-11-2025 12:30,Seriously overcrowded from Koramangala. Route R7C should not let in so many passengers.,KA-01-AB-0101
900019,13-11-2025 10:45,Driver of KA-01-AB-0104 was rude when asked for the stop. Unprofessional behavior.,
900020,13-11-2025 10:29,Route R7C is running behind by 22 mins near MG_Road. The schedule is a joke.,KA-01-AB-0105
900021,13-11-2025 09:10,Excellent journey on Bus KA-01-AB-0105 this morning. Everything was clean.,KA-01-AB-0105
900022,13-11-2025 09:40,Seriously packed from Silk_Board. Route R5A should not let in so many passengers.,KA-01-AB-0101
900023,13-11-2025 14:39,The no fan is disgusting. Bus KA-01-AB-0104 needs maintenance asap.,KA-01-AB-0104
900024,13-11-2025 16:12,Excellent journey on Route R5A this morning. Everything was comfortable. \#Traffic,KA-01-AB-0104
900025,13-11-2025 08:09,Bus KA-01-AB-0105 is late by 18 mins near Koramangala. The schedule is a joke. \#Traffic,KA-01-AB-0105
900026,13-11-2025 10:04,Driver of KA-01-AB-0105 was skipping stops when asked for the stop. Unprofessional behavior.,KA-01-AB-0105
900027,13-11-2025 18:47,Seriously no space to move from Shivaji_Nagar. Route R5A should not let in so many passengers.,
900028,13-11-2025 13:50,Excellent journey on Trip on R12B this morning. Everything was clean.,KA-01-AB-0105
900029,13-11-2025 16:47,Driver of KA-01-AB-0102 was aggressive when asked for the stop. Unprofessional behavior. \@Official,KA-01-AB-0102
900030,13-11-2025 13:10,Seriously packed from MG_Road. Bus KA-01-AB-0102 should not let in so many passengers. \#Traffic,KA-01-AB-0102
900031,13-11-2025 15:20,Excellent journey on Route R7C this morning. Everything was clean.,KA-01-AB-0102
900032,13-11-2025 16:40,Seriously packed from Silk_Board. Bus KA-01-AB-0102 should not let in so many passengers.,
900033,13-11-2025 07:29,Route R5A is off schedule by 31 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0102
900034,13-11-2025 07:52,Checked the app 3 times. Still no information for Route R5A. Makes the whole system unreliable.,KA-01-AB-0103
900035,13-11-2025 17:36,Bus KA-01-AB-0102 is late by 14 mins near Marathahalli. The schedule is a joke. \@Official,KA-01-AB-0102
900036,13-11-2025 13:09,Driver of KA-01-AB-0103 was rude when asked for the stop. Unprofessional behavior.,KA-01-AB-0103
900037,13-11-2025 17:52,Checked the app 3 times. Still tracker broken for Trip on R7C. Makes the whole system unreliable.,
900038,13-11-2025 09:34,Bus KA-01-AB-0105 is running behind by 40 mins near Shivaji_Nagar. The schedule is a joke.,
900039,13-11-2025 07:58,Route R12B is late by 30 mins near MG_Road. The schedule is a joke.,KA-01-AB-0101
900040,13-11-2025 18:10,Seriously no space to move from Whitefield. Trip on R12B should not let in so many passengers.,KA-01-AB-0101
900041,13-11-2025 10:00,Checked the app 3 times. Still no real-time update for Route R5A. Makes the whole system unreliable.,KA-01-AB-0102
900042,13-11-2025 12:35,Seriously full from Whitefield. Route R5A should not let in so many passengers.,KA-01-AB-0102
900043,13-11-2025 11:57,Excellent journey on Bus KA-01-AB-0105 this morning. Everything was comfortable.,KA-01-AB-0105
900044,13-11-2025 07:46,Seriously overcrowded from Shivaji_Nagar. Trip on R12B should not let in so many passengers.,KA-01-AB-0103
900045,13-11-2025 09:52,Trip on R7C is delayed by 24 mins near Whitefield. The schedule is a joke.,KA-01-AB-0103
900046,13-11-2025 13:22,Checked the app 3 times. Still tracker broken for Bus KA-01-AB-0102. Makes the whole system unreliable. daily struggle,KA-01-AB-0102
900047,13-11-2025 16:22,Seriously sardine can from Marathahalli. Trip on R12B should not let in so many passengers.,KA-01-AB-0104
900048,13-11-2025 12:41,Trip on R7C is delayed by 33 mins near Whitefield. The schedule is a joke.,
900049,13-11-2025 12:22,Seriously full from Silk_Board. Route R12B should not let in so many passengers.,KA-01-AB-0103
900050,13-11-2025 07:47,Seriously full from Whitefield. Bus KA-01-AB-0103 should not let in so many passengers.,KA-01-AB-0103
900051,13-11-2025 18:15,Driver of KA-01-AB-0102 was not helpful when asked for the stop. Unprofessional behavior. \#Traffic,KA-01-AB-0102
900052,13-11-2025 12:36,Seriously sardine can from Koramangala. Bus KA-01-AB-0101 should not let in so many passengers.,KA-01-AB-0101
900053,13-11-2025 09:28,Seriously no space to move from Silk_Board. Route R5A should not let in so many passengers.,KA-01-AB-0104
900054,13-11-2025 10:26,Checked the app 3 times. Still no real-time update for Route R12B. Makes the whole system unreliable.,
900055,13-11-2025 12:41,Driver of KA-01-AB-0104 was aggressive when asked for the stop. Unprofessional behavior.,KA-01-AB-0104
900056,13-11-2025 17:00,Checked the app 3 times. Still no real-time update for Trip on R7C. Makes the whole system unreliable.,KA-01-AB-0104
900057,13-11-2025 10:11,Route R5A is late by 28 mins near MG_Road. The schedule is a joke.,KA-01-AB-0104
900058,13-11-2025 07:48,The leaking roof is disgusting. Bus KA-01-AB-0103 needs maintenance asap. pls respond,KA-01-AB-0103
900059,13-11-2025 10:46,Excellent journey on Trip on R5A this morning. Everything was comfortable.,
900060,13-11-2025 12:59,Trip on R7C is off schedule by 31 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0104
900061,13-11-2025 07:24,Seriously no space to move from MG_Road. Trip on R5A should not let in so many passengers. \#Traffic,
900062,13-11-2025 18:54,Route R5A is late by 11 mins near Koramangala. The schedule is a joke. \@Official,
900063,13-11-2025 07:26,Trip on R7C is delayed by 26 mins near Shivaji_Nagar. The schedule is a joke.,
900064,13-11-2025 09:01,Seriously sardine can from Shivaji_Nagar. Bus KA-01-AB-0104 should not let in so many passengers.,KA-01-AB-0104
900065,13-11-2025 11:34,Route R12B is late by 15 mins near Shivaji_Nagar. The schedule is a joke. pls respond,KA-01-AB-0104
900066,13-11-2025 13:18,Driver of KA-01-AB-0104 was skipping stops when asked for the stop. Unprofessional behavior. \@Official,KA-01-AB-0104
900067,13-11-2025 17:20,Bus KA-01-AB-0104 is off schedule by 21 mins near Whitefield. The schedule is a joke.,KA-01-AB-0104
900068,13-11-2025 18:24,Seriously overcrowded from Marathahalli. Bus KA-01-AB-0102 should not let in so many passengers.,
900069,13-11-2025 11:26,Driver of KA-01-AB-0103 was aggressive when asked for the stop. Unprofessional behavior.,KA-01-AB-0103
900070,13-11-2025 14:15,Trip on R5A is late by 30 mins near Marathahalli. The schedule is a joke. pls respond,KA-01-AB-0105
900071,13-11-2025 17:32,Driver of KA-01-AB-0104 was not helpful when asked for the stop. Unprofessional behavior. pls respond,KA-01-AB-0104
900072,13-11-2025 12:08,Excellent journey on Route R7C this morning. Everything was comfortable.,KA-01-AB-0105
900073,13-11-2025 13:51,Driver of KA-01-AB-0101 was not helpful when asked for the stop. Unprofessional behavior.,
900074,13-11-2025 13:04,Driver of KA-01-AB-0104 was rude when asked for the stop. Unprofessional behavior.,KA-01-AB-0104
900075,13-11-2025 13:39,Driver of KA-01-AB-0103 was rude when asked for the stop. Unprofessional behavior.,KA-01-AB-0103
900076,13-11-2025 16:06,Driver of KA-01-AB-0102 was not helpful when asked for the stop. Unprofessional behavior.,KA-01-AB-0102
900077,13-11-2025 10:51,Driver of KA-01-AB-0104 was not helpful when asked for the stop. Unprofessional behavior. \#Traffic,KA-01-AB-0104
900078,13-11-2025 07:41,Seriously no space to move from Koramangala. Bus KA-01-AB-0102 should not let in so many passengers. pls respond,KA-01-AB-0102
900079,13-11-2025 17:09,Route R5A is took forever by 42 mins near MG_Road. The schedule is a joke.,KA-01-AB-0101
900080,13-11-2025 09:42,Seriously no space to move from Whitefield. Trip on R5A should not let in so many passengers. \@Official,KA-01-AB-0101
